dose_mpk,output,measurement,measurement_unit,time,ID,time_unit,exponential_error,dose_route
3.0,free_drug_c,199.5356605108184,nM,32.66666666666667,0,d,0.1,Dose_SC
3.0,free_drug_p,64.19142391341815,nM,35.0,0,d,0.1,Dose_SC
3.0,free_drug_c,173.0246579864278,nM,35.0,0,d,0.1,Dose_SC
1.0,free_drug_p,8.196701690416845,nM,2.333333333333333,1,d,0.1,Dose_SC
1.0,free_drug_c,29.78761203795561,nM,2.333333333333333,1,d,0.1,Dose_SC
1.0,free_drug_p,7.690913258959266,nM,4.666666666666667,1,d,0.1,Dose_SC
1.0,free_drug_c,19.710220895241704,nM,4.666666666666667,1,d,0.1,Dose_SC
1.0,free_drug_p,5.275131076623592,nM,7.0,1,d,0.1,Dose_SC
1.0,free_drug_c,15.6984082457395,nM,7.0,1,d,0.1,Dose_SC
1.0,free_drug_p,13.030951317625693,nM,9.333333333333334,1,d,0.1,Dose_SC
1.0,free_drug_c,42.64395392905536,nM,9.333333333333334,1,d,0.1,Dose_SC
1.0,free_drug_p,12.057921580836728,nM,11.666666666666668,1,d,0.1,Dose_SC
1.0,free_drug_c,29.623977161731737,nM,11.666666666666668,1,d,0.1,Dose_SC
1.0,free_drug_p,9.177902156017192,nM,14.0,1,d,0.1,Dose_SC
1.0,free_drug_c,21.24704121794739,nM,14.0,1,d,0.1,Dose_SC
1.0,free_drug_p,16.47861062970851,nM,16.333333333333336,1,d,0.1,Dose_SC
1.0,free_drug_c,54.99870786930952,nM,16.333333333333336,1,d,0.1,Dose_SC
1.0,free_drug_p,14.043379633402816,nM,18.666666666666668,1,d,0.1,Dose_SC
1.0,free_drug_c,35.669442836014575,nM,18.666666666666668,1,d,0.1,Dose_SC
1.0,free_drug_p,11.181598652653475,nM,21.0,1,d,0.1,Dose_SC
1.0,free_drug_c,29.55309900804278,nM,21.0,1,d,0.1,Dose_SC
1.0,free_drug_p,18.52242963214793,nM,23.333333333333336,1,d,0.1,Dose_SC
1.0,free_drug_c,51.49744624341164,nM,23.333333333333336,1,d,0.1,Dose_SC
1.0,free_drug_p,14.78315867892669,nM,25.666666666666668,1,d,0.1,Dose_SC
1.0,free_drug_c,41.06838747495165,nM,25.666666666666668,1,d,0.1,Dose_SC
1.0,free_drug_p,12.71005776161433,nM,28.0,1,d,0.1,Dose_SC
1.0,free_drug_c,31.466772842019274,nM,28.0,1,d,0.1,Dose_SC
1.0,free_drug_p,15.420194469846855,nM,30.333333333333336,1,d,0.1,Dose_SC
1.0,free_drug_c,53.095887869357554,nM,30.333333333333336,1,d,0.1,Dose_SC
1.0,free_drug_p,15.954923707336208,nM,32.66666666666667,1,d,0.1,Dose_SC
1.0,free_drug_c,40.96107863526032,nM,32.66666666666667,1,d,0.1,Dose_SC
1.0,free_drug_p,13.162483518132548,nM,35.0,1,d,0.1,Dose_SC
1.0,free_drug_c,30.67640837287369,nM,35.0,1,d,0.1,Dose_SC
0.3,free_drug_p,2.910334019587682,nM,2.333333333333333,2,d,0.1,Dose_SC
0.3,free_drug_c,10.386155211654618,nM,2.333333333333333,2,d,0.1,Dose_SC
0.3,free_drug_p,3.1168104371509915,nM,4.666666666666667,2,d,0.1,Dose_SC
0.3,free_drug_c,7.82178778642049,nM,4.666666666666667,2,d,0.1,Dose_SC
0.3,free_drug_p,2.706818350512222,nM,7.0,2,d,0.1,Dose_SC
0.3,free_drug_c,6.724605218604871,nM,7.0,2,d,0.1,Dose_SC
0.3,free_drug_p,5.79388245643561,nM,9.333333333333334,2,d,0.1,Dose_SC
0.3,free_drug_c,17.196980994635823,nM,9.333333333333334,2,d,0.1,Dose_SC
0.3,free_drug_p,5.258235833307259,nM,11.666666666666668,2,d,0.1,Dose_SC
0.3,free_drug_c,12.698227254092078,nM,11.666666666666668,2,d,0.1,Dose_SC
0.3,free_drug_p,4.120991574432034,nM,14.0,2,d,0.1,Dose_SC
0.3,free_drug_c,11.370195473199232,nM,14.0,2,d,0.1,Dose_SC
0.3,free_drug_p,7.437334129111175,nM,16.333333333333336,2,d,0.1,Dose_SC
0.3,free_drug_c,19.956428184036497,nM,16.333333333333336,2,d,0.1,Dose_SC
0.3,free_drug_p,6.491218625805109,nM,18.666666666666668,2,d,0.1,Dose_SC
0.3,free_drug_c,17.936159263886836,nM,18.666666666666668,2,d,0.1,Dose_SC
0.3,free_drug_p,5.50327504316561,nM,21.0,2,d,0.1,Dose_SC
0.3,free_drug_c,15.020068071825488,nM,21.0,2,d,0.1,Dose_SC
0.3,free_drug_p,8.1187622365151,nM,23.333333333333336,2,d,0.1,Dose_SC
0.3,free_drug_c,23.672896240042096,nM,23.333333333333336,2,d,0.1,Dose_SC
0.3,free_drug_p,7.254095037415667,nM,25.666666666666668,2,d,0.1,Dose_SC
0.3,free_drug_c,18.208750038067592,nM,25.666666666666668,2,d,0.1,Dose_SC
0.3,free_drug_p,6.127588927714877,nM,28.0,2,d,0.1,Dose_SC
0.3,free_drug_c,15.62755721875694,nM,28.0,2,d,0.1,Dose_SC
0.3,free_drug_p,8.648654014672315,nM,30.333333333333336,2,d,0.1,Dose_SC
0.3,free_drug_c,23.82162848717174,nM,30.333333333333336,2,d,0.1,Dose_SC
0.3,free_drug_p,8.107179261412712,nM,32.66666666666667,2,d,0.1,Dose_SC
0.3,free_drug_c,19.26439088430215,nM,32.66666666666667,2,d,0.1,Dose_SC
0.3,free_drug_p,6.221376426904608,nM,35.0,2,d,0.1,Dose_SC
0.3,free_drug_c,18.56299045206154,nM,35.0,2,d,0.1,Dose_SC
1.0,free_drug_p,10.104558237163156,nM,2.333333333333333,3,d,0.1,Dose_SC
1.0,free_drug_c,35.97818341071876,nM,2.333333333333333,3,d,0.1,Dose_SC
1.0,free_drug_p,8.387621894323768,nM,4.666666666666667,3,d,0.1,Dose_SC
1.0,free_drug_c,23.50756090452046,nM,4.666666666666667,3,d,0.1,Dose_SC
1.0,free_drug_p,8.443988560259095,nM,7.0,3,d,0.1,Dose_SC
1.0,free_drug_c,21.990312200719806,nM,7.0,3,d,0.1,Dose_SC
1.0,free_drug_p,16.965676235169926,nM,9.333333333333334,3,d,0.1,Dose_SC
1.0,free_drug_c,56.24629519773544,nM,9.333333333333334,3,d,0.1,Dose_SC
1.0,free_drug_p,15.90210454693911,nM,11.666666666666668,3,d,0.1,Dose_SC
1.0,free_drug_c,43.21966620596109,nM,11.666666666666668,3,d,0.1,Dose_SC
1.0,free_drug_p,13.60971495660952,nM,14.0,3,d,0.1,Dose_SC
1.0,free_drug_c,35.6856015559494,nM,14.0,3,d,0.1,Dose_SC
1.0,free_drug_p,21.7952049281182,nM,16.333333333333336,3,d,0.1,Dose_SC
1.0,free_drug_c,63.24292327295037,nM,16.333333333333336,3,d,0.1,Dose_SC
1.0,free_drug_p,18.642824720621853,nM,18.666666666666668,3,d,0.1,Dose_SC
1.0,free_drug_c,53.304438143343305,nM,18.666666666666668,3,d,0.1,Dose_SC
1.0,free_drug_p,16.352230825228634,nM,21.0,3,d,0.1,Dose_SC
1.0,free_drug_c,43.28186480945374,nM,21.0,3,d,0.1,Dose_SC
1.0,free_drug_p,24.59809831322352,nM,23.333333333333336,3,d,0.1,Dose_SC
1.0,free_drug_c,75.17061798470976,nM,23.333333333333336,3,d,0.1,Dose_SC
1.0,free_drug_p,22.812977466676905,nM,25.666666666666668,3,d,0.1,Dose_SC
1.0,free_drug_c,51.22302273113484,nM,25.666666666666668,3,d,0.1,Dose_SC
1.0,free_drug_p,17.26249365011277,nM,28.0,3,d,0.1,Dose_SC
1.0,free_drug_c,47.98939478120448,nM,28.0,3,d,0.1,Dose_SC
1.0,free_drug_p,25.82943748728385,nM,30.333333333333336,3,d,0.1,Dose_SC
1.0,free_drug_c,75.29232516098298,nM,30.333333333333336,3,d,0.1,Dose_SC
1.0,free_drug_p,24.306241232607185,nM,32.66666666666667,3,d,0.1,Dose_SC
1.0,free_drug_c,61.38517235211469,nM,32.66666666666667,3,d,0.1,Dose_SC
1.0,free_drug_p,19.72466854777946,nM,35.0,3,d,0.1,Dose_SC
1.0,free_drug_c,48.97744028150412,nM,35.0,3,d,0.1,Dose_SC
